customer_id,purchase_date,phone_model,storage_capacity,color,price_paid,trade_in_model,age,gender,income_bracket,education_level,occupation,location_type,city_region,previous_brand_loyalty,upgrade_frequency,customer_type,purchase_channel,feedback_sentiment,user_feedback
C043,2024-10-05,Google Pixel 8a,256GB,Aloe,599,Samsung Galaxy A53,27,Female,50000-75000,Associate,Retail & Customer Service,Rural,Central Valley CA,Mixed,3 years,New,Carrier Store,negative,this has been a frustrating experience. The software is buggy and slow.
C044,2024-09-30,iPhone 15 Pro,128GB,White Titanium,1099,iPhone 12 Pro,36,Male,150000+,Master,Business & Management,Urban,Boston,Apple,3 years,Returning,Apple Store,positive,been using it for months with no issues. Screen quality is excellent. Will probably buy another one.
C045,2024-10-12,Nothing Phone 2a,128GB,Milk,349,iPhone SE 2022,23,Male,25000-50000,High School,Retail & Customer Service,Urban,Portland,Mixed,3 years,New,Electronics Retailer,positive,impressed with how well it performs. Great choice if you're looking for reliability.
C046,2024-10-08,iPhone 16,128GB,White,799,OnePlus 9,31,Female,75000-100000,Bachelor,Medical & Healthcare,Suburban,Nashville,Mixed,3 years,New,Apple Store,positive, really satisfied with the overall experience. The battery life is really good. Highly recommended.
C047,2024-10-25,Samsung Galaxy S23 FE,256GB,Purple,629,iPhone 13,34,Female,50000-75000,Bachelor,Sales & Marketing,Urban,Atlanta,Mixed,2 years,Returning,Carrier Store,negative,this phone has been nothing but trouble. Very disappointed with this purchase.
C048,2024-10-18,iPhone 15,256GB,Black,899,iPhone 11 Pro,40,Male,100000-150000,Master,Technology & Data,Urban,San Francisco Bay Area,Apple,3 years,Returning,Apple Store,positive,"I'm really impressed, this phone exceeded my expectations. Signal reception is strong. Great choice if you're looking for reliability."
C049,2024-11-02,OnePlus 12,256GB,Flowy Emerald,799,Samsung Galaxy S22 Ultra,37,Male,75000-100000,Bachelor,Engineering & Technology,Suburban,Phoenix,Mixed,2 years,Returning,Online,positive,"Honestly, impressed with how well it performs. Interface is smooth and intuitive. Couldn't be happier with it."
C050,2024-11-08,iPhone 16,256GB,Pink,899,Google Pixel 7 Pro,28,Female,100000-150000,Master,Medical & Healthcare,Urban,Chicago,Mixed,2 years,New,Apple Store,negative,Really disappointed because I'm having major issues with this device. 
C051,2024-10-28,Google Pixel 8,128GB,Rose,699,iPhone 12,32,Female,75000-100000,Bachelor,Technology & Data,Urban,Austin,Mixed,3 years,Returning,Online,positive,"To be honest, quality is great for the price. Perfect for everyday use."
C052,2024-11-15,Samsung Galaxy A55,256GB,Awesome Iceblue,549,Samsung Galaxy A32,45,Male,25000-50000,Associate,Transportation & Logistics,Rural,Midwest,Samsung,5 years,Returning,Carrier Store,negative,I'm having major issues with this device. It freezes and crashes frequently. Save your money and look elsewhere.
C053,2024-11-12,iPhone 15 Plus,128GB,Green,799,iPhone 13,29,Female,75000-100000,Bachelor,Medical & Healthcare,Suburban,Dallas-Fort Worth,Apple,3 years,Returning,Apple Store,negative,this has been a frustrating experience. The software is buggy and slow. Two stars at most.
C054,2024-11-25,Motorola Edge 30,128GB,Meteor Gray,399,Google Pixel 4a,38,Male,50000-75000,High School,Security & Safety,Rural,Southeast,Mixed,4 years,New,Electronics Retailer,positive,"To be honest, works exactly as advertised. Will probably buy another one."
C055,2024-11-22,iPhone 16,128GB,Blue,799,Samsung Galaxy S21 FE,33,Male,100000-150000,Master,Medical & Healthcare,Urban,Los Angeles,Mixed,3 years,New,Apple Store,positive,"I'm really impressed, been using it for months with no issues. Storage space is plenty for my needs. Couldn't be happier with it."
C056,2024-12-05,Samsung Galaxy S24 Ultra,256GB,Titanium Violet,1399,iPhone 14 Pro,39,Female,150000+,PhD,Engineering & Technology,Urban,Seattle,Mixed,2 years,Returning,Online,positive,really happy with this purchase. Very responsive and fast. Highly recommended.
C057,2024-12-02,iPhone 15,128GB,Blue,699,iPhone 12,35,Male,100000-150000,Master,Finance & Investment,Suburban,Orlando,Apple,3 years,Returning,Apple Store,neutral,"Pretty standard phone, there are both pros and cons to consider. Nice screen quality but performance is just okay. It'll do the job."
C058,2024-12-18,Google Pixel 8 Pro,256GB,Porcelain,1099,OnePlus 11,31,Female,100000-150000,Master,Technology & Data,Urban,Denver,Mixed,2 years,Returning,Online,positive, this phone does everything I need. Signal reception is strong.
C059,2024-12-15,iPhone 16,256GB,Black,899,iPhone 11,27,Female,75000-100000,Bachelor,Medical & Healthcare,Suburban,Houston,Mixed,4 years,New,Apple Store,negative,there are too many problems to ignore. Really wish I had chosen something else.
C060,2024-12-28,Samsung Galaxy A35,128GB,Awesome Navy,399,Samsung Galaxy A21,42,Male,25000-50000,High School,Administrative & Support,Rural,South,Samsung,5 years,Returning,Carrier Store,positive,this phone does everything I need. Worth every penny.
C061,2025-01-08,iPhone 15 Pro Max,256GB,Natural Titanium,1299,iPhone 13 Pro,41,Female,150000+,Master,Medical & Healthcare,Urban,New York,Apple,2 years,Returning,Apple Store,positive,this phone exceeded my expectations. The battery life is really good. 
C062,2025-01-05,OnePlus 12,128GB,Silky Black,699,Google Pixel 7,28,Male,75000-100000,Bachelor,Technology & Data,Urban,San Francisco Bay Area,Mixed,2 years,Returning,Online,positive,impressed with how well it performs. Highly recommended.
C063,2025-01-15,iPhone 16,128GB,Pink,799,Samsung Galaxy A73,29,Female,75000-100000,Master,Medical & Healthcare,Suburban,Charlotte,Mixed,3 years,New,Apple Store,negative,"I expected better, but the reliability is just not there. Build quality feels cheap and flimsy."
C064,2025-01-12,Xiaomi 13T,256GB,Black,649,iPhone XR,34,Male,50000-75000,Associate,Media & Creative,Urban,Portland,Mixed,4 years,New,Electronics Retailer,positive,"I'm really impressed, quality is great for the price. Screen quality is excellent. "
C065,2025-01-25,Google Pixel 8a,128GB,Bay,499,Samsung Galaxy A33,26,Female,50000-75000,Bachelor,Sales & Marketing,Rural,Central Valley CA,Mixed,3 years,New,Carrier Store,negative,the performance is really disappointing. The software is buggy and slow.
C066,2025-01-22,iPhone 15,256GB,Yellow,899,iPhone 12,37,Male,100000-150000,Master,Engineering & Technology,Suburban,Phoenix,Apple,3 years,Returning,Apple Store,positive,"Overall, this phone exceeded my expectations. Camera takes decent photos. Happy customer here!"
C067,2025-02-05,Samsung Galaxy S24,128GB,Cobalt Violet,799,Samsung Galaxy S21,36,Female,75000-100000,Bachelor,Human Resources,Urban,Miami,Samsung,3 years,Returning,Carrier Store,neutral,I'd say you get what you pay for with this one. Fine for everyday tasks but not for heavy usage.
C068,2025-02-02,iPhone 16,256GB,White,899,Google Pixel 8a,32,Male,100000-150000,Master,Medical & Healthcare,Urban,Boston,Mixed,2 years,New,Apple Store,positive,"After using this for a while, quality is great for the price. Worth every penny."
C069,2025-02-18,Nothing Phone 2,128GB,Dark Gray,449,OnePlus 10,25,Male,50000-75000,Bachelor,Technology & Data,Urban,Austin,Mixed,2 years,New,Electronics Retailer,negative,this doesn't live up to the hype. The software is buggy and slow. Planning to return it if possible.
C070,2025-02-15,iPhone 15 Plus,256GB,Pink,999,iPhone 13 Plus,33,Female,100000-150000,Master,Business & Management,Suburban,Atlanta,Apple,3 years,Returning,Apple Store,positive,"I'm really impressed, works exactly as advertised. Highly recommended."
C071,2025-02-28,OnePlus 11,256GB,Eternal Green,649,Samsung Galaxy S22,30,Male,75000-100000,Bachelor,Technology & Data,Urban,Seattle,Mixed,2 years,Returning,Online,negative,"I expected better, but the performance is really disappointing. Really wish I had chosen something else."
C072,2025-02-25,iPhone 16,128GB,Blue,799,iPhone 11 Pro,28,Female,75000-100000,Bachelor,Medical & Healthcare,Suburban,Orlando,Mixed,4 years,New,Apple Store,positive,"I'm really impressed, impressed with how well it performs."
C073,2025-03-08,Samsung Galaxy A54,128GB,Awesome Violet,449,iPhone XS,40,Female,50000-75000,Associate,,Rural,Southeast,Mixed,4 years,Returning,Carrier Store,negative,"Unfortunately, there are too many problems to ignore. The software is buggy and slow. Very disappointed with this purchase."
C074,2025-03-05,Google Pixel 8,256GB,Mint,749,Google Pixel 6,31,Male,75000-100000,Master,Technology & Data,Urban,San Francisco Bay Area,Google,2 years,Returning,Online,negative,the reliability is just not there. The software is buggy and slow.
C075,2025-03-15,iPhone 15 Pro,128GB,Blue Titanium,1099,iPhone 12 Pro,38,Female,150000+,Master,Legal,Urban,New York,Apple,3 years,Returning,Apple Store,negative,this has been a frustrating experience. Connectivity issues are constant. 
C076,2025-03-12,Motorola Edge 40 Pro,256GB,Interstellar Black,699,Samsung Galaxy Note 10,35,Male,50000-75000,Bachelor,Construction & Trades,Rural,Midwest,Mixed,4 years,New,Electronics Retailer,positive,"I have to say, this phone exceeded my expectations. Would definitely recommend!"
C077,2025-03-20,iPhone 16,256GB,Pink,899,OnePlus 12,30,Female,100000-150000,Master,Medical & Healthcare,Urban,Chicago,Mixed,2 years,New,Apple Store,negative,"Unfortunately, this has been a frustrating experience. It freezes and crashes frequently. Save your money and look elsewhere."
C078,2025-03-18,Samsung Galaxy Z Flip5,128GB,Lavender,999,iPhone 13 mini,24,Female,75000-100000,Bachelor,Media & Creative,Urban,Los Angeles,Mixed,2 years,Returning,Online,negative,this doesn't live up to the hype. Would not recommend this to anyone.
C079,2025-03-25,iPhone 15,128GB,Green,699,iPhone 11,36,Male,100000-150000,Master,Technology & Data,Suburban,Denver,Apple,4 years,Returning,Apple Store,positive,really happy with this purchase. Build quality feels premium. Will probably buy another one.
C080,2025-03-22,Google Pixel 8 Pro,512GB,Bay,1199,Samsung Galaxy S23 Ultra,43,Male,150000+,PhD,Research & Development,Urban,Austin,Mixed,2 years,Returning,Online,positive,quality is great for the price. Great value for money. Happy customer here!
C081,2024-03-30,iPhone 16,128GB,Black,799,Google Pixel 6a,26,Male,75000-100000,Bachelor,Medical & Healthcare,Suburban,Nashville,Mixed,3 years,New,Apple Store,positive,impressed with how well it performs. Hasn't given me any problems. 
C082,2024-04-12,Samsung Galaxy A35,256GB,Awesome Lilac,499,Samsung Galaxy A23,47,Female,25000-50000,High School,Retail & Customer Service,Rural,South,Samsung,5 years,Returning,Carrier Store,positive,this phone does everything I need. Build quality feels premium.
C083,2024-04-28,OnePlus 12,128GB,Flowy Emerald,699,iPhone 12,29,Male,75000-100000,Bachelor,Business & Management,Urban,Seattle,Mixed,3 years,Returning,Online,neutral,"this does the job but has some limitations. Works well for calls and texts, average for everything else. Not bad, not amazing either."
C084,2024-05-18,iPhone 15 Plus,128GB,Black,799,iPhone 13,32,Female,100000-150000,Master,Sales & Marketing,Suburban,Dallas-Fort Worth,Apple,2 years,Returning,Apple Store,neutral,it's a decent phone but nothing special. Good battery life but the camera could be better.
C085,2024-06-08,Google Pixel 8a,128GB,Porcelain,499,OnePlus 9,27,Female,50000-75000,Bachelor,Social Services,Rural,Central Valley CA,Mixed,4 years,New,Carrier Store,positive,this phone does everything I need. Camera takes decent photos. 
C086,2024-06-22,iPhone 16,256GB,Blue,899,Samsung Galaxy S20 FE,34,Male,100000-150000,Master,Medical & Healthcare,Urban,Houston,Mixed,3 years,New,Apple Store,negative,"After a few weeks, I regret buying this phone. Planning to return it if possible."
C087,2024-07-05,Samsung Galaxy S24,256GB,Amber Yellow,849,Samsung Galaxy S21,31,Female,75000-100000,Bachelor,Business & Management,Suburban,Phoenix,Samsung,2 years,Returning,Carrier Store,positive,really happy with this purchase. Will probably buy another one.
C088,2024-07-25,iPhone 15,256GB,Pink,899,iPhone 11,29,Female,75000-100000,Bachelor,Medical & Healthcare,Urban,Miami,Apple,4 years,Returning,Apple Store,positive,"Overall, impressed with how well it performs. Happy customer here!"
C089,2024-08-15,Nothing Phone 2a,256GB,Black,449,Google Pixel 5a,24,Male,50000-75000,Associate,Technology & Data,Urban,Portland,Mixed,3 years,New,Electronics Retailer,neutral,you get what you pay for with this one. Reliable for basic use but struggles with demanding apps. Fair choice for the price.
C090,2024-09-05,iPhone 16,128GB,White,799,iPhone XR,28,Female,75000-100000,Bachelor,Medical & Healthcare,Suburban,Charlotte,Mixed,5 years,New,Apple Store,neutral,it's a decent phone but nothing special. Decent features but nothing that stands out.
C091,2024-09-28,Xiaomi 14,128GB,Pink,599,OnePlus 10T,26,Female,50000-75000,Bachelor,Sales & Marketing,Urban,Atlanta,Mixed,2 years,New,Electronics Retailer,positive,really happy with this purchase.
C092,2024-10-15,Samsung Galaxy A55,128GB,Awesome Navy,449,Samsung Galaxy A52,39,Male,25000-50000,High School,Transportation & Logistics,Rural,Midwest,Samsung,4 years,Returning,Carrier Store,neutral,it's neither great nor terrible.
C093,2024-11-08,iPhone 15 Pro Max,512GB,White Titanium,1499,iPhone 13 Pro Max,45,Male,150000+,Master,Finance & Investment,Urban,New York,Apple,2 years,Returning,Apple Store,negative,I regret buying this phone. The battery dies way too quickly. Save your money and look elsewhere.
C094,2024-12-12,Google Pixel 8,128GB,Hazel,699,Samsung Galaxy A54,30,Female,75000-100000,Bachelor,Technology & Data,Urban,San Francisco Bay Area,Mixed,3 years,Returning,Online,positive,quality is great for the price. Interface is smooth and intuitive.
C095,2025-01-18,iPhone 16,256GB,Pink,899,Google Pixel 7a,31,Female,100000-150000,Master,Medical & Healthcare,Urban,Los Angeles,Mixed,2 years,New,Apple Store,negative,this doesn't live up to the hype. It freezes and crashes frequently. Not worth the price at all.
C096,2025-02-08,OnePlus 12,256GB,Silky Black,799,Samsung Galaxy S23,33,Male,75000-100000,Master,Technology & Data,Suburban,Seattle,Mixed,2 years,Returning,Online,negative, I regret buying this phone. It freezes and crashes frequently. Very disappointed with this purchase.
C097,2025-02-22,iPhone 15,128GB,Blue,699,iPhone 12 mini,27,Female,75000-100000,Bachelor,Medical & Healthcare,Suburban,Orlando,Apple,3 years,Returning,Apple Store,positive,"Honestly, works exactly as advertised. Will probably buy another one."
C098,2025-03-10,Samsung Galaxy Z Fold5,256GB,Phantom Black,1699,iPhone 14 Plus,40,Male,150000+,PhD,Technology & Data,Urban,Boston,Mixed,2 years,Returning,Online,positive,"To be honest, been using it for months with no issues. Worth every penny."
C099,2025-03-14,iPhone 16,128GB,Blue,799,OnePlus 11,29,Male,100000-150000,Master,Medical & Healthcare,Urban,Chicago,Mixed,2 years,New,Apple Store,neutral,it's a decent phone but nothing special.
C100,2025-03-28,Google Pixel 8 Pro,256GB,Obsidian,1099,iPhone 13 Pro,37,Female,100000-150000,PhD,Technology & Data,Urban,Austin,Mixed,2 years,Returning,Online,neutral,This phone is it's neither great nor terrible. Nice screen quality but performance is just okay. Three stars - it's okay.
C101,2024-03-29,iPhone 16,128GB,Black,799,iPhone 14,25,Male,100000-150000,Bachelor,,Urban,Boston,Apple,2 years,Returning,Apple Store,positive,quality is great for the price.
C102,2024-04-05,Samsung Galaxy S24 Plus,256GB,Marble Gray,999,iPhone 13,33,Female,75000-100000,Master,Sales & Marketing,Suburban,Dallas-Fort Worth,Mixed,3 years,Returning,Carrier Store,positive,"I have to say, the performance is solid. Build quality feels premium. Worth every penny."
C103,2024-04-11,Google Pixel 8,128GB,Rose,699,Samsung Galaxy A52,41,Male,50000-75000,Associate,Construction & Trades,Rural,Southeast,Mixed,4 years,New,Electronics Retailer,negative,"I expected better, but there are too many problems to ignore. Connectivity issues are constant. Planning to return it if possible."
C104,2024-04-18,iPhone 15,256GB,Blue,899,iPhone 12,37,Female,100000-150000,Master,Finance & Investment,Urban,San Francisco Bay Area,Apple,3 years,Returning,Apple Store,positive,everything works perfectly. Interface is smooth and intuitive.
C105,2024-04-24,iPhone 16,256GB,Pink,899,iPhone 15,28,Female,150000+,Master,,Urban,Chicago,Apple,1 year,Returning,Apple Store,negative,"Unfortunately, there are too many problems to ignore. The battery dies way too quickly. Would not recommend this to anyone."
C106,2024-05-02,OnePlus 12,128GB,Silky Black,699,Google Pixel 6,30,Male,75000-100000,Bachelor,Technology & Data,Urban,Austin,Mixed,2 years,Returning,Online,negative,"After a few weeks, this doesn't live up to the hype. Storage fills up too fast."
C107,2024-05-08,Samsung Galaxy A54,256GB,Awesome Graphite,499,Samsung Galaxy A33,44,Female,25000-50000,High School,,Rural,Midwest,Samsung,5 years,Returning,Carrier Store,neutral,"Overall, it's an okay choice if you're not too picky. Does what it says but lacks wow factor. Decent enough for most people."
C108,2024-05-15,iPhone 16,128GB,White,799,iPhone 14 Pro,32,Male,100000-150000,Master,Medical & Healthcare,Suburban,Houston,Apple,2 years,Returning,Apple Store,positive,quality is great for the price. Worth every penny.
C109,2024-05-21,Google Pixel 8 Pro,256GB,Bay,1099,OnePlus 11,35,Female,100000-150000,PhD,Research & Development,Urban,Seattle,Mixed,2 years,Returning,Online,positive,everything works perfectly. Hasn't given me any problems. Five stars from me.
C110,2024-05-28,iPhone 15 Plus,128GB,Yellow,799,iPhone 13 Plus,29,Male,75000-100000,Bachelor,Engineering & Technology,Suburban,Phoenix,Apple,3 years,Returning,Apple Store,neutral,"It's okay, you get what you pay for with this one. Works well for calls and texts, average for everything else. Fair choice for the price."
C111,2024-06-04,Samsung Galaxy Z Flip5,256GB,Cream,999,iPhone 12 mini,26,Female,100000-150000,Bachelor,Sales & Marketing,Urban,Miami,Mixed,2 years,Returning,Online,negative,the reliability is just not there. The screen is not very responsive. Would not recommend this to anyone.
